Dataset: 0.00000, sensor:0.02081, difference:-0.02081
Dataset: 14.00000, sensor:14.00195, difference:-0.00195
Dataset: 19.50000, sensor:19.49665, difference:0.00335
Dataset: 20.50000, sensor:20.45291, difference:0.04709
Dataset: 27.00000, sensor:26.97124, difference:0.02876
Dataset: 34.50000, sensor:34.50239, difference:-0.00239
Dataset: 54.00000, sensor:53.97695, difference:0.02305
Dataset: 83.50000, sensor:83.49550, difference:0.00450
Dataset: 13.00000, sensor:13.02115, difference:-0.02115
Dataset: 22.00000, sensor:22.01337, difference:-0.01337
Dataset: 26.50000, sensor:26.56381, difference:-0.06381
Dataset: 28.00000, sensor:28.02571, difference:-0.02571
Dataset: 40.00000, sensor:40.02630, difference:-0.02630
Dataset: 63.50000, sensor:63.52626, difference:-0.02626
Dataset: 71.50000, sensor:71.47087, difference:0.02913
Dataset: 87.50000, sensor:87.51183, difference:-0.01183
Dataset: 95.00000, sensor:94.97496, difference:0.02504
Dataset: 99.00000, sensor:98.99341, difference:0.00659
Dataset: 23.50000, sensor:23.52449, difference:-0.02449
Dataset: 34.00000, sensor:33.94469, difference:0.05531
Dataset: 42.50000, sensor:42.53511, difference:-0.03511
Dataset: 44.50000, sensor:44.47968, difference:0.02032
Dataset: 48.00000, sensor:47.95407, difference:0.04593
Dataset: 68.00000, sensor:68.03818, difference:-0.03818
Dataset: 69.00000, sensor:68.99400, difference:0.00600
Dataset: 71.00000, sensor:70.97740, difference:0.02260
Dataset: 74.50000, sensor:74.51855, difference:-0.01855
Dataset: 83.00000, sensor:82.98458, difference:0.01542
Dataset: 21.50000, sensor:21.44568, difference:0.05432
Dataset: 30.50000, sensor:30.47555, difference:0.02445
Dataset: 42.00000, sensor:42.00885, difference:-0.00885
Dataset: 48.50000, sensor:48.48662, difference:0.01338
Dataset: 87.00000, sensor:87.00162, difference:-0.00162
Dataset: 13.50000, sensor:13.47267, difference:0.02733
Dataset: 15.00000, sensor:15.02617, difference:-0.02617
Dataset: 26.00000, sensor:26.01429, difference:-0.01429
Dataset: 59.00000, sensor:58.95824, difference:0.04176
Dataset: 64.00000, sensor:64.02058, difference:-0.02058
Dataset: 96.50000, sensor:96.46685, difference:0.03315
Dataset: 4.00000, sensor:3.98712, difference:0.01288
Dataset: 15.50000, sensor:15.49966, difference:0.00034
Dataset: 40.50000, sensor:40.46498, difference:0.03502
Dataset: 46.50000, sensor:46.48848, difference:0.01152
Dataset: 61.50000, sensor:61.46654, difference:0.03346
Dataset: 84.00000, sensor:83.97015, difference:0.02985
Dataset: 6.00000, sensor:6.03424, difference:-0.03424
Dataset: 33.00000, sensor:33.05576, difference:-0.05576
Dataset: 35.00000, sensor:34.98981, difference:0.01019
Dataset: 37.00000, sensor:37.02203, difference:-0.02203
Dataset: 59.50000, sensor:59.49253, difference:0.00747
Dataset: 95.50000, sensor:95.51141, difference:-0.01141
Dataset: 1.00000, sensor:0.99575, difference:0.00425
Dataset: 5.50000, sensor:5.50629, difference:-0.00629
Dataset: 9.50000, sensor:9.53000, difference:-0.03000
Dataset: 18.50000, sensor:18.50853, difference:-0.00853
Dataset: 41.00000, sensor:40.98601, difference:0.01399
Dataset: 73.50000, sensor:73.47380, difference:0.02620
Dataset: 85.00000, sensor:85.01433, difference:-0.01433
Dataset: 98.00000, sensor:98.02398, difference:-0.02398
Dataset: 5.00000, sensor:4.99364, difference:0.00636
Dataset: 10.00000, sensor:10.03774, difference:-0.03774
Dataset: 12.00000, sensor:11.95695, difference:0.04305
Dataset: 19.00000, sensor:18.98234, difference:0.01766
Dataset: 7.50000, sensor:7.47075, difference:0.02925
Dataset: 11.50000, sensor:11.52497, difference:-0.02497
